"ano";"mes";"nome_mes";"internacoes"
2015;1;Janeiro;196
2015;2;Fevereiro;189
2015;3;Março;258
2015;4;Abril;276
2015;5;Maio;295
2015;6;Junho;227
2015;7;Julho;192
2015;8;Agosto;180
2015;9;Setembro;139
2015;10;Outubro;154
2015;11;Novembro;162
2015;12;Dezembro;208
2016;1;Janeiro;158
2016;2;Fevereiro;172
2016;3;Março;237
2016;4;Abril;324
2016;5;Maio;324
2016;6;Junho;270
2016;7;Julho;227
2016;8;Agosto;181
2016;9;Setembro;200
2016;10;Outubro;222
2016;11;Novembro;235
2016;12;Dezembro;244
2017;1;Janeiro;241
2017;2;Fevereiro;266
2017;3;Março;309
2017;4;Abril;342
2017;5;Maio;300
2017;6;Junho;246
2017;7;Julho;245
2017;8;Agosto;184
2017;9;Setembro;185
2017;10;Outubro;208
2017;11;Novembro;177
2017;12;Dezembro;220
2018;1;Janeiro;173
2018;2;Fevereiro;188
2018;3;Março;231
2018;4;Abril;253
2018;5;Maio;339
2018;6;Junho;356
2018;7;Julho;376
2018;8;Agosto;329
2018;9;Setembro;290
2018;10;Outubro;265
2018;11;Novembro;240
2018;12;Dezembro;206
2019;1;Janeiro;179
2019;2;Fevereiro;212
2019;3;Março;302
2019;4;Abril;396
2019;5;Maio;419
2019;6;Junho;407
2019;7;Julho;333
2019;8;Agosto;253
2019;9;Setembro;244
2019;10;Outubro;242
2019;11;Novembro;264
2019;12;Dezembro;248
2020;1;Janeiro;208
2020;2;Fevereiro;205
2020;3;Março;256
2020;4;Abril;196
2020;5;Maio;171
2020;6;Junho;159
2020;7;Julho;144
2020;8;Agosto;169
2020;9;Setembro;201
2020;10;Outubro;156
2020;11;Novembro;204
2020;12;Dezembro;195
2021;1;Janeiro;234
2021;2;Fevereiro;198
2021;3;Março;145
2021;4;Abril;134
2021;5;Maio;166
2021;6;Junho;171
2021;7;Julho;200
2021;8;Agosto;221
2021;9;Setembro;214
2021;10;Outubro;271
2021;11;Novembro;272
2021;12;Dezembro;369
2022;1;Janeiro;578
2022;2;Fevereiro;348
2022;3;Março;389
2022;4;Abril;496
2022;5;Maio;592
2022;6;Junho;488
2022;7;Julho;469
2022;8;Agosto;290
2022;9;Setembro;356
2022;10;Outubro;377
2022;11;Novembro;379
2022;12;Dezembro;307
2023;1;Janeiro;360
2023;2;Fevereiro;333
2023;3;Março;503
2023;4;Abril;692
2023;5;Maio;739
2023;6;Junho;643
2023;7;Julho;686
2023;8;Agosto;486
2023;9;Setembro;562
2023;10;Outubro;548
2023;11;Novembro;484
2023;12;Dezembro;504
2024;1;Janeiro;371
2024;2;Fevereiro;338
2024;3;Março;562
2024;4;Abril;818
2024;5;Maio;799
2024;6;Junho;748
2024;7;Julho;635
2024;8;Agosto;493
2024;9;Setembro;512
2024;10;Outubro;520
2024;11;Novembro;512
2024;12;Dezembro;576
